Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.0,2.22,53.2,2.136,0.031565333333333334,7.513945611111113,363.2800000000004
23.99,2.19,52.5,2.119,0.030902083333333337,7.544847694444447,365.39900000000046
24.0,2.25,54.0,2.118,0.03177,7.5766176944444465,367.51700000000045
24.0,1.59,38.1,2.129,0.02253191666666667,7.599149611111113,369.64600000000047
23.99,2.1,50.3,2.122,0.02964905555555555,7.628798666666669,371.7680000000005
23.99,2.04,48.9,2.121,0.02881025,7.657608916666669,373.88900000000046
23.99,1.98,47.5,2.138,0.02820972222222222,7.685818638888891,376.02700000000044
24.0,1.59,38.1,2.119,0.022426083333333336,7.708244722222225,378.14600000000047
24.01,1.89,45.3,2.138,0.026903166666666662,7.735147888888892,380.28400000000045
23.99,2.1,50.3,2.121,0.02963508333333333,7.764782972222225,382.4050000000004
24.0,1.35,32.4,2.127,0.019142999999999997,7.7839259722222245,384.53200000000044
23.99,2.19,52.5,2.119,0.030902083333333337,7.814828055555558,386.65100000000047
23.91,11.07,264.6,2.135,0.1569225,7.971750555555558,388.78600000000046
23.91,10.8,258.2,2.119,0.1519793888888889,8.123729944444447,390.9050000000005
23.95,10.35,247.8,2.117,0.14572016666666668,8.269450111111114,393.0220000000005
23.99,2.13,51.0,2.133,0.0302175,8.299667611111113,395.1550000000005
24.0,1.59,38.1,2.12,0.022436666666666667,8.32210427777778,397.2750000000005
24.0,2.25,54.0,2.121,0.031815,8.35391927777778,399.39600000000047
23.99,2.16,51.8,2.13,0.03064833333333333,8.384567611111114,401.52600000000047
24.0,1.47,35.2,2.118,0.020709333333333333,8.405276944444447,403.64400000000046
23.99,2.19,52.5,2.117,0.030872916666666667,8.436149861111113,405.7610000000005
24.01,1.29,30.9,2.127,0.018256749999999995,8.454406611111114,407.8880000000005
23.99,2.25,53.9,2.12,0.03174111111111111,8.486147722222226,410.0080000000005
24.0,1.26,30.2,2.12,0.017784444444444443,8.50393216666667,412.1280000000005
24.01,1.44,34.5,2.129,0.020402916666666666,8.524335083333337,414.2570000000005
23.99,1.62,38.8,2.119,0.02283811111111111,8.547173194444449,416.37600000000054
23.99,2.22,53.2,2.119,0.03131411111111112,8.57848730555556,418.4950000000006
24.01,1.29,30.9,2.13,0.018282499999999997,8.59676980555556,420.62500000000057
23.99,2.1,50.3,2.123,0.029663027777777778,8.626432833333338,422.74800000000056
23.99,1.35,32.3,2.134,0.019146722222222218,8.64557955555556,424.8820000000006
23.99,2.19,52.5,2.12,0.03091666666666667,8.676496222222227,427.0020000000006
24.01,2.07,49.7,2.117,0.029226361111111113,8.705722583333337,429.1190000000006
24.0,2.19,52.5,2.129,0.031047916666666665,8.736770500000004,431.2480000000006
24.0,1.35,32.4,2.122,0.019097999999999997,8.755868500000004,433.37000000000063
23.91,11.04,263.9,2.12,0.15540777777777776,8.911276277777782,435.49000000000063
23.92,10.77,257.6,2.126,0.1521271111111111,9.063403388888894,437.6160000000006
24.0,1.32,31.6,2.118,0.01859133333333333,9.081994722222227,439.7340000000006
24.0,1.8,43.2,2.122,0.025464,9.107458722222226,441.8560000000006
23.99,1.56,37.4,2.126,0.022086777777777778,9.129545500000004,443.9820000000006
24.0,1.26,30.2,2.123,0.017809611111111113,9.147355111111116,446.1050000000006
24.0,2.04,48.9,2.132,0.02895966666666667,9.176314777777783,448.2370000000006
23.99,1.83,43.9,2.118,0.02582783333333333,9.202142611111116,450.3550000000006
23.99,1.53,36.7,2.119,0.021602027777777782,9.223744638888894,452.4740000000006
24.0,2.22,53.2,2.141,0.03163922222222222,9.255383861111117,454.61500000000063
24.0,1.47,35.2,2.135,0.020875555555555557,9.276259416666672,456.7500000000006
23.99,2.22,53.2,2.125,0.03140277777777778,9.30766219444445,458.8750000000006
24.0,2.19,52.5,2.136,0.03115,9.33881219444445,461.01100000000065
24.0,2.07,49.6,2.118,0.02918133333333333,9.367993527777784,463.12900000000064
23.99,2.13,51.0,2.121,0.0300475,9.398041027777785,465.2500000000006
23.99,1.92,46.0,2.128,0.027191111111111114,9.425232138888896,467.3780000000006
24.01,1.65,39.6,2.12,0.023320000000000004,9.448552138888896,469.4980000000006
23.99,1.2,28.7,2.117,0.016877194444444445,9.46542933333334,471.61500000000063
23.99,1.65,39.5,2.13,0.02337083333333333,9.488800166666673,473.74500000000063
23.91,10.95,261.8,2.123,0.1543892777777778,9.64318944444445,475.8680000000006
23.91,10.86,259.6,2.131,0.15366877777777777,9.796858222222228,477.9990000000006
24.0,1.38,33.1,2.118,0.019473833333333333,9.816332055555561,480.1170000000006
23.99,2.22,53.2,2.119,0.03131411111111112,9.847646166666673,482.2360000000006
24.01,2.07,49.7,2.132,0.029433444444444446,9.877079611111117,484.3680000000006
24.0,2.19,52.5,2.123,0.03096041666666667,9.908040027777783,486.4910000000006
24.0,1.38,33.1,2.132,0.019602555555555557,9.92764258333334,488.6230000000006
23.99,2.19,52.5,2.125,0.030989583333333334,9.958632166666673,490.7480000000006
23.99,1.5,35.9,2.135,0.021290694444444442,9.979922861111117,492.8830000000006
23.99,2.22,53.2,2.122,0.031358444444444446,10.011281305555562,495.0050000000006
24.0,1.35,32.4,2.134,0.019206,10.030487305555562,497.13900000000064
24.0,2.13,51.1,2.129,0.03021997222222222,10.060707277777784,499.26800000000065
24.0,2.25,54.0,2.125,0.031875,10.092582277777783,501.39300000000065
24.0,1.56,37.4,2.118,0.022003666666666664,10.11458594444445,503.51100000000065
24.0,1.38,33.1,2.138,0.019657722222222222,10.134243666666672,505.6490000000006
23.99,2.22,53.2,2.12,0.03132888888888889,10.16557255555556,507.76900000000063
24.0,1.74,41.7,2.123,0.02459141666666667,10.190163972222226,509.8920000000006
23.99,2.25,53.9,2.124,0.031801,10.221964972222226,512.0160000000006
24.0,1.74,41.7,2.121,0.02456825,10.246533222222226,514.1370000000006
23.99,2.25,53.9,2.122,0.03177105555555555,10.278304277777782,516.2590000000006
23.99,2.19,52.5,2.124,0.030975000000000003,10.309279277777781,518.3830000000006
23.92,10.68,255.4,2.119,0.1503312777777778,10.459610555555559,520.5020000000006
23.91,11.07,264.6,2.118,0.155673,10.615283555555559,522.6200000000007
23.91,10.23,244.5,2.131,0.14473041666666667,10.760013972222225,524.7510000000007
