Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s,power_smooth
23.99,1.62,38.8,2.132,0.02297822222222222,241.4203473333347,10889.988000000072,78.23111491587204
23.97,1.77,42.4,2.119,0.024957111111111114,241.4453044444458,10892.107000000073,78.28599142325277
23.64,10.89,257.4,2.116,0.151294,241.59659844444582,10894.223000000073,78.40194753644141
23.68,10.14,240.1,2.131,0.14212586111111108,241.73872430555693,10896.354000000072,78.5696457067283
23.98,2.1,50.3,2.116,0.029565222222222222,241.76828952777916,10898.470000000072,78.65886043709666
23.96,1.71,40.9,2.119,0.024074194444444447,241.7923637222236,10900.589000000073,78.6083327822796
23.98,1.95,46.7,2.135,0.027695694444444443,241.82005941666804,10902.724000000073,78.69074303219111
23.96,1.74,41.6,2.119,0.02448622222222223,241.84454563889025,10904.843000000074,80.3468257766257
23.98,1.77,42.4,2.121,0.024980666666666665,241.86952630555692,10906.964000000073,81.95811252431301
23.98,2.16,51.7,2.132,0.030617888888888892,241.9001441944458,10909.096000000072,82.16822584364867
23.98,1.56,37.4,2.119,0.022014055555555558,241.92215825000136,10911.215000000073,82.3641913339191
23.97,1.47,35.2,2.119,0.020719111111111115,241.94287736111247,10913.334000000074,82.49797930916046
23.97,2.25,53.9,2.131,0.031905805555555555,241.97478316666803,10915.465000000073,82.67097335076038
23.97,2.04,48.8,2.117,0.028697111111111107,242.00348027777915,10917.582000000073,82.65239848983718
23.96,1.71,40.9,2.122,0.024108277777777774,242.02758855555692,10919.704000000072,81.10823018119459
23.99,1.8,43.1,2.132,0.025524777777777778,242.0531133333347,10921.836000000072,79.69252563833349
23.96,2.07,49.5,2.12,0.029150000000000002,242.08226333333468,10923.956000000073,79.0540595042658
23.97,2.25,53.9,2.119,0.03172613888888889,242.11398947222358,10926.075000000073,79.17754318249087
23.66,10.26,242.7,2.127,0.14339524999999997,242.25738472222358,10928.202000000074,79.26798598543292
23.69,10.65,252.2,2.123,0.14872794444444445,242.406112666668,10930.325000000073,79.23611809513959
23.67,10.26,242.8,2.121,0.14304966666666666,242.54916233333466,10932.446000000073,79.28986517773295
23.97,1.92,46.0,2.125,0.02715277777777778,242.57631511111245,10934.571000000073,79.39020867154207
23.96,2.01,48.1,2.122,0.02835227777777778,242.60466738889022,10936.693000000072,79.40343523373322
23.98,1.8,43.1,2.118,0.025357166666666667,242.6300245555569,10938.811000000072,79.45555843336497
23.96,1.65,39.5,2.13,0.02337083333333333,242.65339538889023,10940.941000000072,81.07716159659817
23.96,2.28,54.6,2.124,0.032214000000000007,242.68560938889024,10943.065000000071,82.66745979001502
23.98,1.47,35.2,2.118,0.020709333333333333,242.70631872222359,10945.183000000072,82.56514433803994
23.97,1.41,33.7,2.128,0.01992044444444445,242.72623916666802,10947.311000000072,82.55376636886164
23.96,2.07,49.5,2.121,0.029163750000000002,242.75540291666803,10949.432000000072,81.87394929954267
23.97,2.25,53.9,2.117,0.031696194444444444,242.78709911111247,10951.549000000072,80.37411168044818
23.97,1.92,46.0,2.131,0.027229444444444445,242.81432855555693,10953.680000000071,78.9517141254342
23.99,1.68,40.3,2.119,0.02372102777777778,242.8380495833347,10955.799000000072,79.03505912777854
23.97,1.77,42.4,2.123,0.025004222222222223,242.86305380555694,10957.922000000071,79.11871965525239
23.96,1.74,41.6,2.127,0.024578666666666665,242.8876324722236,10960.049000000072,79.07398838918743
23.96,2.28,54.6,2.118,0.032123,242.9197554722236,10962.167000000072,79.02997928403364
23.65,10.86,256.8,2.115,0.15087,243.0706254722236,10964.282000000072,79.03663601449135
23.65,10.56,249.7,2.115,0.14669875,243.21732422222362,10966.397000000072,79.07747191223609
23.97,9.06,217.1,2.117,0.1276668611111111,243.34499108333475,10968.514000000072,79.00939197132126
23.96,1.86,44.5,2.127,0.02629208333333333,243.3712831666681,10970.641000000072,79.07243119508517
23.97,1.59,38.1,2.118,0.0224155,243.3936986666681,10972.759000000073,78.96436801320993
24.0,1.65,39.6,2.12,0.023320000000000004,243.4170186666681,10974.879000000074,80.40538258537356
23.97,1.62,38.8,2.132,0.02297822222222222,243.43999688889033,10977.011000000073,81.86278381104586
23.97,2.16,51.7,2.125,0.030517361111111113,243.47051425000146,10979.136000000073,83.50893848708169
23.98,1.77,42.4,2.134,0.025133777777777772,243.49564802777923,10981.270000000073,83.6087599604511
23.96,2.28,54.6,2.119,0.03213816666666667,243.5277861944459,10983.389000000074,83.59225673998881
23.97,2.25,53.9,2.119,0.03172613888888889,243.5595123333348,10985.508000000074,82.08755715205443
23.99,2.19,52.5,2.128,0.031033333333333333,243.59054566666813,10987.636000000075,80.78389329198392
23.97,2.25,53.9,2.122,0.03177105555555555,243.6223167222237,10989.758000000074,80.86904728043959
23.97,2.28,54.6,2.12,0.03215333333333334,243.65447005555703,10991.878000000075,80.9666672086226
23.66,6.57,155.4,2.129,0.09190183333333334,243.74637188889037,10994.007000000076,81.02836356630256
23.64,10.53,248.9,2.118,0.14643616666666667,243.89280805555703,10996.125000000076,81.2017185036244
