Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.03,0.63,15.1,2.123,0.008904805555555556,0.6953189166666663,165.67399999999995
24.02,0.63,15.1,2.121,0.008896416666666665,0.704215333333333,167.79499999999996
24.03,0.63,15.1,2.125,0.008913194444444444,0.7131285277777775,169.91999999999996
24.03,0.63,15.1,2.121,0.008896416666666665,0.7220249444444441,172.04099999999997
24.03,0.63,15.1,2.123,0.008904805555555556,0.7309297499999996,174.16399999999996
24.03,0.63,15.1,2.123,0.008904805555555556,0.7398345555555551,176.28699999999995
24.03,0.63,15.1,2.118,0.008883833333333332,0.7487183888888884,178.40499999999994
24.03,0.63,15.1,2.121,0.008896416666666665,0.757614805555555,180.52599999999995
24.03,0.63,15.1,2.13,0.008934166666666665,0.7665489722222217,182.65599999999995
24.03,0.63,15.1,2.116,0.008875444444444444,0.7754244166666662,184.77199999999996
24.03,0.63,15.1,2.122,0.00890061111111111,0.7843250277777772,186.89399999999995
24.03,0.63,15.1,2.13,0.008934166666666665,0.7932591944444439,189.02399999999994
24.03,0.63,15.1,2.121,0.008896416666666665,0.8021556111111106,191.14499999999995
24.03,0.63,15.1,2.118,0.008883833333333332,0.8110394444444439,193.26299999999995
24.03,0.63,15.1,2.128,0.008925777777777779,0.8199652222222217,195.39099999999996
24.03,0.63,15.1,2.118,0.008883833333333332,0.828849055555555,197.50899999999996
24.03,0.66,15.8,2.119,0.009300055555555556,0.8381491111111106,199.62799999999996
24.03,0.66,15.8,2.132,0.009357111111111111,0.8475062222222217,201.75999999999996
24.03,0.66,15.8,2.119,0.009300055555555556,0.8568062777777773,203.87899999999996
24.03,0.66,15.8,2.136,0.009374666666666668,0.8661809444444439,206.01499999999996
24.03,0.66,15.8,2.118,0.009295666666666666,0.8754766111111106,208.13299999999995
24.03,0.66,15.8,2.121,0.009308833333333334,0.884785444444444,210.25399999999996
24.03,0.66,15.8,2.132,0.009357111111111111,0.8941425555555551,212.38599999999997
24.03,0.66,15.8,2.124,0.009322,0.9034645555555552,214.50999999999996
24.03,0.66,15.8,2.131,0.00935272222222222,0.9128172777777774,216.64099999999996
24.03,0.66,15.8,2.118,0.009295666666666666,0.9221129444444441,218.75899999999996
24.03,0.66,15.8,2.119,0.009300055555555556,0.9314129999999997,220.87799999999996
24.03,0.66,15.8,2.132,0.009357111111111111,0.9407701111111109,223.00999999999996
24.03,0.66,15.8,2.118,0.009295666666666666,0.9500657777777776,225.12799999999996
24.03,0.66,15.8,2.118,0.009295666666666666,0.9593614444444443,227.24599999999995
24.03,0.66,15.8,2.129,0.009343944444444446,0.9687053888888887,229.37499999999994
24.03,0.66,15.8,2.125,0.00932638888888889,0.9780317777777776,231.49999999999994
24.03,0.66,15.8,2.119,0.009300055555555556,0.9873318333333332,233.61899999999994
24.03,0.66,15.8,2.127,0.009335166666666667,0.9966669999999999,235.74599999999995
24.03,0.66,15.8,2.123,0.009317611111111113,1.005984611111111,237.86899999999994
24.03,0.66,15.8,2.132,0.009357111111111111,1.015341722222222,240.00099999999995
24.03,0.66,15.8,2.118,0.009295666666666666,1.0246373888888887,242.11899999999994
24.03,0.66,15.8,2.12,0.009304444444444445,1.033941833333333,244.23899999999995
24.03,0.66,15.8,2.131,0.00935272222222222,1.0432945555555553,246.36999999999995
24.03,0.66,15.8,2.124,0.009322,1.0526165555555553,248.49399999999994
24.03,0.66,15.8,2.137,0.009379055555555555,1.0619956111111108,250.63099999999994
24.03,0.66,15.8,2.119,0.009300055555555556,1.0712956666666664,252.74999999999994
24.03,0.66,15.8,2.117,0.009291277777777777,1.0805869444444443,254.86699999999993
24.03,0.66,15.8,2.127,0.009335166666666667,1.0899221111111108,256.9939999999999
24.03,0.66,15.8,2.119,0.009300055555555556,1.0992221666666664,259.11299999999994
24.03,0.66,15.8,2.118,0.009295666666666666,1.108517833333333,261.23099999999994
24.03,0.66,15.8,2.132,0.009357111111111111,1.117874944444444,263.36299999999994
24.03,0.66,15.8,2.119,0.009300055555555556,1.1271749999999996,265.48199999999997
24.03,0.66,15.8,2.119,0.009300055555555556,1.1364750555555552,267.601
24.03,0.66,15.8,2.131,0.00935272222222222,1.1458277777777774,269.73199999999997
24.03,0.66,15.8,2.119,0.009300055555555556,1.155127833333333,271.851
24.03,0.66,15.8,2.12,0.009304444444444445,1.1644322777777774,273.971
24.03,0.66,15.8,2.126,0.009330777777777778,1.1737630555555552,276.097
24.03,0.66,15.8,2.119,0.009300055555555556,1.1830631111111107,278.216
24.03,0.66,15.8,2.118,0.009295666666666666,1.1923587777777773,280.334
24.03,0.66,15.8,2.133,0.0093615,1.2017202777777773,282.467
24.03,0.66,15.8,2.123,0.009317611111111113,1.2110378888888884,284.59
24.03,0.66,15.8,2.132,0.009357111111111111,1.2203949999999995,286.722
24.03,0.66,15.8,2.118,0.009295666666666666,1.229690666666666,288.84
24.03,0.66,15.8,2.12,0.009304444444444445,1.2389951111111104,290.96
24.03,0.66,15.8,2.131,0.00935272222222222,1.2483478333333327,293.09099999999995
24.03,0.66,15.8,2.119,0.009300055555555556,1.2576478888888882,295.21
24.02,0.66,15.8,2.119,0.009300055555555556,1.2669479444444438,297.329
24.03,0.66,15.8,2.131,0.00935272222222222,1.276300666666666,299.46
24.03,0.66,15.8,2.12,0.009304444444444445,1.2856051111111104,301.58
24.03,0.66,15.8,2.118,0.009295666666666666,1.294900777777777,303.698
24.03,0.66,15.8,2.127,0.009335166666666667,1.3042359444444436,305.825
24.03,0.66,15.8,2.12,0.009304444444444445,1.313540388888888,307.945
24.03,0.66,15.8,2.118,0.009295666666666666,1.3228360555555545,310.063
24.03,0.66,15.8,2.132,0.009357111111111111,1.3321931666666655,312.195
24.03,0.66,15.8,2.122,0.009313222222222223,1.3415063888888878,314.317
24.03,0.66,15.8,2.12,0.009304444444444445,1.3508108333333322,316.437
24.03,0.66,15.8,2.126,0.009330777777777778,1.36014161111111,318.563
24.03,0.66,15.8,2.124,0.009322,1.36946361111111,320.687
24.03,0.66,15.8,2.132,0.009357111111111111,1.378820722222221,322.819
24.03,0.66,15.8,2.118,0.009295666666666666,1.3881163888888877,324.937
24.03,0.66,15.8,2.121,0.009308833333333334,1.397425222222221,327.058
24.03,0.66,15.8,2.13,0.009348333333333332,1.4067735555555543,329.188
24.03,0.66,15.8,2.119,0.009300055555555556,1.4160736111111099,331.307
24.03,0.66,15.8,2.118,0.009295666666666666,1.4253692777777764,333.425
24.03,0.66,15.8,2.132,0.009357111111111111,1.4347263888888875,335.557
24.03,0.69,16.5,2.124,0.009735,1.4444613888888875,337.68100000000004
24.03,0.66,15.8,2.129,0.009343944444444446,1.453805333333332,339.81000000000006
24.03,0.66,15.8,2.12,0.009304444444444445,1.4631097777777764,341.93000000000006
24.03,0.66,15.8,2.118,0.009295666666666666,1.472405444444443,344.04800000000006
24.03,0.66,15.8,2.132,0.009357111111111111,1.481762555555554,346.18000000000006
24.03,0.66,15.8,2.119,0.009300055555555556,1.4910626111111096,348.2990000000001
24.03,0.66,15.8,2.119,0.009300055555555556,1.5003626666666652,350.4180000000001
24.03,0.66,15.8,2.131,0.00935272222222222,1.5097153888888875,352.5490000000001
24.03,0.69,16.5,2.119,0.009712083333333335,1.5194274722222207,354.6680000000001
24.03,0.66,15.8,2.118,0.009295666666666666,1.5287231388888873,356.7860000000001
24.03,0.66,15.8,2.132,0.009357111111111111,1.5380802499999984,358.9180000000001
24.03,0.66,15.8,2.12,0.009304444444444445,1.5473846944444427,361.0380000000001
24.03,0.66,15.8,2.123,0.009317611111111113,1.5567023055555538,363.1610000000001
24.03,0.66,15.8,2.127,0.009335166666666667,1.5660374722222203,365.2880000000001
24.03,0.66,15.8,2.123,0.009317611111111113,1.5753550833333314,367.4110000000001
24.03,0.69,16.5,2.131,0.009767083333333332,1.5851221666666648,369.5420000000001
24.03,0.66,15.8,2.124,0.009322,1.5944441666666649,371.6660000000001
24.03,0.66,15.8,2.12,0.009304444444444445,1.6037486111111092,373.7860000000001
24.03,0.66,15.8,2.125,0.00932638888888889,1.613074999999998,375.9110000000001
24.03,0.66,15.8,2.119,0.009300055555555556,1.6223750555555536,378.03000000000014
24.03,0.66,15.8,2.119,0.009300055555555556,1.6316751111111092,380.14900000000017
24.03,0.66,15.8,2.131,0.00935272222222222,1.6410278333333315,382.28000000000014
24.03,0.66,15.8,2.119,0.009300055555555556,1.650327888888887,384.39900000000017
24.03,0.69,16.5,2.119,0.009712083333333335,1.6600399722222203,386.5180000000002
24.03,0.66,15.8,2.132,0.009357111111111111,1.6693970833333314,388.6500000000002
24.03,0.66,15.8,2.118,0.009295666666666666,1.678692749999998,390.7680000000002
24.03,0.66,15.8,2.118,0.009295666666666666,1.6879884166666645,392.8860000000002
24.03,0.66,15.8,2.131,0.00935272222222222,1.6973411388888868,395.01700000000017
24.03,0.69,16.5,2.118,0.009707499999999999,1.7070486388888868,397.13500000000016
24.03,0.66,15.8,2.118,0.009295666666666666,1.7163443055555534,399.25300000000016
24.03,0.69,16.5,2.131,0.009767083333333332,1.7261113888888868,401.3840000000001
24.03,0.66,15.8,2.119,0.009300055555555556,1.7354114444444424,403.50300000000016
24.03,0.66,15.8,2.118,0.009295666666666666,1.744707111111109,405.62100000000015
24.03,0.69,16.5,2.133,0.00977625,1.754483361111109,407.75400000000013
24.03,0.69,16.5,2.118,0.009707499999999999,1.764190861111109,409.8720000000001
24.03,0.66,15.8,2.118,0.009295666666666666,1.7734865277777756,411.9900000000001
24.03,0.66,15.8,2.134,0.009365888888888889,1.7828524166666644,414.12400000000014
24.03,0.66,15.8,2.119,0.009300055555555556,1.79215247222222,416.24300000000017
24.03,0.69,16.5,2.118,0.009707499999999999,1.80185997222222,418.36100000000016
24.03,0.69,16.5,2.131,0.009767083333333332,1.8116270555555534,420.49200000000013
24.03,0.69,16.5,2.123,0.009730416666666668,1.82135747222222,422.6150000000001
24.03,0.69,16.5,2.135,0.009785416666666666,1.8311428888888868,424.7500000000001
24.03,0.66,15.8,2.119,0.009300055555555556,1.8404429444444423,426.86900000000014
24.03,0.69,16.5,2.121,0.009721249999999999,1.8501641944444422,428.9900000000001
