Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.01,2.25,54.0,2.119,0.03178500000000001,5.411820694444448,395.10900000000044
24.02,1.8,43.2,2.119,0.025428000000000006,5.437248694444448,397.22800000000046
24.0,2.25,54.0,2.133,0.031995,5.469243694444448,399.36100000000044
24.02,2.22,53.3,2.119,0.031372972222222226,5.50061666666667,401.4800000000005
24.0,2.13,51.1,2.119,0.030078027777777783,5.530694694444448,403.5990000000005
24.01,2.22,53.3,2.129,0.03152102777777777,5.562215722222226,405.7280000000005
24.0,2.16,51.8,2.121,0.03051883333333333,5.59273455555556,407.8490000000005
24.0,2.07,49.6,2.119,0.029195111111111116,5.621929666666671,409.96800000000053
24.0,2.25,54.0,2.134,0.03201,5.653939666666671,412.10200000000054
24.0,1.62,38.8,2.12,0.022848888888888887,5.676788555555559,414.22200000000055
24.0,2.19,52.5,2.121,0.03093125,5.707719805555559,416.34300000000053
24.01,1.89,45.3,2.129,0.026789916666666663,5.734509722222226,418.47200000000055
24.01,2.25,54.0,2.121,0.031815,5.766324722222226,420.59300000000053
24.0,2.13,51.1,2.121,0.030106416666666667,5.7964311388888925,422.7140000000005
24.0,2.16,51.8,2.126,0.030590777777777776,5.82702191666667,424.8400000000005
24.01,1.86,44.6,2.119,0.02625205555555556,5.853273972222225,426.9590000000005
24.02,2.01,48.2,2.119,0.02837105555555556,5.881645027777781,429.07800000000054
24.0,2.16,51.8,2.133,0.030691499999999997,5.91233652777778,431.2110000000005
24.02,1.68,40.3,2.123,0.023765805555555554,5.936102333333336,433.3340000000005
24.01,2.25,54.0,2.12,0.0318,5.967902333333336,435.4540000000005
24.01,1.74,41.7,2.129,0.024660916666666668,5.992563250000003,437.58300000000054
24.02,1.56,37.4,2.119,0.022014055555555558,6.014577305555558,439.70200000000057
24.0,1.92,46.0,2.12,0.02708888888888889,6.0416661944444465,441.82200000000057
24.01,2.25,54.0,2.131,0.03196499999999999,6.073631194444446,443.95300000000054
24.02,1.95,46.8,2.12,0.027559999999999998,6.101191194444446,446.07300000000055
24.01,2.25,54.0,2.135,0.032025,6.133216194444446,448.20800000000054
24.01,1.47,35.2,2.119,0.020719111111111115,6.1539353055555575,450.32700000000057
24.02,2.16,51.8,2.123,0.030547611111111112,6.184482916666669,452.45000000000056
24.02,1.5,36.0,2.132,0.021320000000000002,6.205802916666669,454.58200000000056
24.0,1.65,39.6,2.119,0.023309,6.229111916666669,456.7010000000006
24.02,1.68,40.3,2.116,0.023687444444444445,6.252799361111114,458.8170000000006
24.0,2.16,51.8,2.133,0.030691499999999997,6.2834908611111135,460.95000000000056
24.02,1.98,47.5,2.119,0.027959027777777777,6.311449888888891,463.0690000000006
24.01,2.25,54.0,2.121,0.031815,6.343264888888891,465.19000000000057
24.0,1.95,46.8,2.13,0.027689999999999996,6.370954888888891,467.32000000000056
24.0,2.25,54.0,2.12,0.0318,6.40275488888889,469.44000000000057
24.02,1.86,44.6,2.121,0.026276833333333336,6.4290317222222235,471.56100000000055
24.01,1.74,41.7,2.133,0.02470725,6.453738972222223,473.6940000000005
24.01,2.16,51.8,2.122,0.03053322222222222,6.484272194444445,475.81600000000054
24.01,1.59,38.1,2.133,0.02257425,6.506846444444445,477.9490000000005
24.01,2.22,53.3,2.12,0.03138777777777778,6.538234222222223,480.0690000000005
24.0,2.07,49.6,2.122,0.029236444444444443,6.567470666666668,482.19100000000054
24.01,2.19,52.5,2.134,0.031120833333333334,6.598591500000001,484.32500000000056
24.0,2.01,48.2,2.121,0.028397833333333334,6.626989333333334,486.44600000000054
24.01,1.47,35.2,2.137,0.020895111111111114,6.647884444444445,488.58300000000054
24.0,2.22,53.2,2.122,0.031358444444444446,6.67924288888889,490.70500000000055
24.02,1.5,36.0,2.134,0.021339999999999998,6.70058288888889,492.83900000000057
24.01,1.56,37.4,2.118,0.022003666666666664,6.722586555555557,494.95700000000056
24.01,2.19,52.5,2.12,0.03091666666666667,6.753503222222223,497.07700000000057
24.01,1.92,46.0,2.137,0.027306111111111114,6.780809333333334,499.21400000000057
24.02,1.8,43.2,2.122,0.025464,6.806273333333334,501.3360000000006
24.02,2.1,50.4,2.133,0.029862,6.836135333333334,503.46900000000056
24.01,2.22,53.3,2.123,0.03143219444444444,6.867567527777778,505.59200000000055
24.02,1.65,39.6,2.119,0.023309,6.890876527777778,507.7110000000006
24.02,1.83,43.9,2.129,0.025961972222222223,6.916838500000001,509.8400000000006
24.01,1.59,38.1,2.117,0.022404916666666667,6.939243416666668,511.9570000000006
24.01,1.41,33.8,2.122,0.01992322222222222,6.95916663888889,514.0790000000006
24.02,1.89,45.3,2.13,0.026802499999999996,6.98596913888889,516.2090000000006
24.02,1.5,36.0,2.121,0.02121,7.0071791388888895,518.3300000000006
24.0,1.95,46.8,2.119,0.027547000000000002,7.03472613888889,520.4490000000006
24.02,1.83,43.9,2.128,0.02594977777777778,7.060675916666668,522.5770000000007
24.02,1.95,46.8,2.123,0.027599000000000002,7.088274916666668,524.7000000000007
24.02,2.22,53.3,2.118,0.03135816666666666,7.119633083333334,526.8180000000008
24.0,1.65,39.6,2.131,0.023440999999999997,7.143074083333334,528.9490000000008
24.01,2.1,50.4,2.12,0.029679999999999998,7.172754083333334,531.0690000000008
24.0,2.22,53.2,2.117,0.03128455555555556,7.20403863888889,533.1860000000007
24.01,2.22,53.3,2.133,0.03158025,7.23561888888889,535.3190000000008
24.01,1.59,38.1,2.12,0.022436666666666667,7.258055555555557,537.4390000000008
24.01,2.13,51.1,2.121,0.030106416666666667,7.288161972222223,539.5600000000007
24.02,1.62,38.9,2.131,0.023026638888888885,7.311188611111112,541.6910000000007
24.03,1.65,39.6,2.119,0.023309,7.334497611111113,543.8100000000007
24.01,2.19,52.5,2.119,0.030902083333333337,7.365399694444446,545.9290000000008
24.0,2.22,53.2,2.133,0.031521,7.396920694444446,548.0620000000008
24.02,1.62,38.9,2.123,0.022940194444444447,7.41986088888889,550.1850000000009
24.01,2.22,53.3,2.133,0.03158025,7.451441138888891,552.3180000000009
24.02,2.07,49.7,2.122,0.02929538888888889,7.480736527777779,554.4400000000009
24.01,2.22,53.3,2.123,0.03143219444444444,7.512168722222223,556.5630000000009
24.02,2.07,49.7,2.128,0.029378222222222226,7.541546944444446,558.6910000000009
24.02,2.04,49.0,2.117,0.028814722222222224,7.570361666666668,560.8080000000009
24.01,2.22,53.3,2.12,0.03138777777777778,7.601749444444446,562.9280000000009
24.02,2.04,49.0,2.13,0.028991666666666666,7.630741111111112,565.0580000000009
24.02,2.13,51.1,2.122,0.030120611111111112,7.660861722222223,567.1800000000009
24.02,2.19,52.6,2.117,0.030931722222222225,7.691793444444445,569.2970000000008
24.02,2.07,49.7,2.132,0.029433444444444446,7.72122688888889,571.4290000000008
24.02,2.16,51.8,2.117,0.030461277777777775,7.751688166666668,573.5460000000007
24.02,2.19,52.6,2.121,0.030990166666666666,7.782678333333334,575.6670000000007
24.01,2.1,50.4,2.133,0.029862,7.812540333333334,577.8000000000008
24.0,1.77,42.4,2.12,0.02496888888888889,7.837509222222223,579.9200000000008
24.01,2.04,48.9,2.137,0.029027583333333332,7.8665368055555565,582.0570000000007
24.0,2.13,51.1,2.121,0.030106416666666667,7.896643222222223,584.1780000000007
24.01,1.71,41.0,2.118,0.024121666666666666,7.92076488888889,586.2960000000007
24.01,2.07,49.7,2.134,0.029461055555555553,7.950225944444445,588.4300000000007
24.02,2.04,49.0,2.12,0.028855555555555558,7.9790815,590.5500000000008
24.01,2.07,49.7,2.122,0.02929538888888889,8.00837688888889,592.6720000000007
24.01,1.95,46.8,2.128,0.027664,8.03604088888889,594.8000000000008
24.01,1.92,46.0,2.12,0.02708888888888889,8.063129777777778,596.9200000000008
24.02,2.01,48.2,2.121,0.028397833333333334,8.091527611111111,599.0410000000007
24.01,2.25,54.0,2.129,0.031935,8.123462611111112,601.1700000000008
24.01,2.25,54.0,2.121,0.031815,8.155277611111112,603.2910000000007
24.01,2.22,53.3,2.12,0.03138777777777778,8.186665388888889,605.4110000000007
24.01,1.65,39.6,2.124,0.023364000000000003,8.21002938888889,607.5350000000008
24.01,1.74,41.7,2.12,0.02455666666666667,8.234586055555557,609.6550000000008
24.01,2.04,48.9,2.122,0.02882383333333333,8.26340988888889,611.7770000000007
24.02,2.19,52.6,2.133,0.031165500000000002,8.294575388888891,613.9100000000008
24.02,2.22,53.3,2.12,0.03138777777777778,8.325963166666668,616.0300000000008
24.02,2.1,50.4,2.119,0.029666,8.355629166666668,618.1490000000008
